title,artist,last,peak,week
Dangerous: The Double Album,Morgan Wallen,1,1,9
Shoot For The Stars Aim For The Moon,Pop Smoke,3,1,36
Shiesty Season,Pooh Shiesty,4,3,5
After Hours,The Weeknd,163,1,51
The Voice,Lil Durk,5,2,12
Future Nostalgia,Dua Lipa,8,4,49
My Turn,Lil Baby,7,1,54
Positions,Ariana Grande,6,1,19
Niratias,Chevelle,-,9,1
What You See Is What You Get,Luke Combs,9,1,70
When You See Yourself,Kings Of Leon,-,11,1
Only The Family Presents: Loyal Bros Compilation,Various Artists,-,12,1
Legends Never Die,Juice WRLD,10,1,35
Hollywood's Bleeding,Post Malone,11,1,79
You're Welcome,A Day To Remember,-,15,1
The Highlights,The Weeknd,2,2,5
El Ultimo Tour del Mundo,Bad Bunny,12,1,15
Good News,Megan Thee Stallion,14,2,16
F*ck Love,The Kid LAROI,13,3,33
Hot Pink,Doja Cat,20,9,71
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,15,1,102
Fine Line,Harry Styles,19,1,65
Goodbye & Good Riddance,Juice WRLD,17,4,147
Tickets To My Downfall,Machine Gun Kelly,18,1,24
Evermore,Taylor Swift,16,1,13
Greatest Hits,Queen,22,8,429
The GOAT,Polo G,21,2,43
Hamilton: An American Musical,Original Broadway Cast,23,2,285
Folklore,Taylor Swift,24,1,33
Music To Be Murdered By,Eminem,40,1,59
This One's For You,Luke Combs,26,4,197
Thats What They All Say,Jack Harlow,27,5,13
YHLQMDLG,Bad Bunny,25,2,54
Pray 4 Love,Rod Wave,29,2,49
If I Know Me,Morgan Wallen,28,10,128
Curtain Call: The Hits=,Eminem,38,1,519
Death Race For Love,Juice WRLD,31,1,105
Rumours,Fleetwood Mac,50,1,415
Eternal Atake,Lil Uzi Vert,32,1,53
BLAME IT ON BABY,DaBaby,33,1,47
beerbongs & bentleys,Post Malone,34,1,150
BE,BTS,30,1,16
Diamonds,Elton John,35,7,174
Starting Over,Chris Stapleton,46,3,17
Scorpion,Drake,51,1,141
Take Time (EP),Giveon,41,35,10
Divinely Uninspired To A Hellish Extent,Lewis Capaldi,44,20,95
ASTROWORLD,Travis Scott,37,1,136
Ctrl,SZA,43,3,196
Over It,Summer Walker,42,2,75
Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,53,18,514
Sin Miedo (Del Amor y Otros Demonios),Kali Uchis,52,52,3
Greatest Hits,The Notorious B.I.G.,73,1,265
"good kid, m.A.A.d city",Kendrick Lamar,57,2,437
Please Excuse Me For Being Antisocial,Roddy Ricch,56,1,66
Pluto x Baby Pluto,Future & Lil Uzi Vert,54,2,17
Dont Smile At Me,Billie Eilish,45,14,168
Legend: The Best Of...,Bob Marley And The Wailers,66,5,669
Stoney,Post Malone,59,4,222
Chilombo,Jhene Aiko,55,2,53
2014 Forest Hills Drive,J. Cole,61,1,327
Traveller,Chris Stapleton,64,1,287
Savage Mode II,21 Savage & Metro Boomin,49,1,23
Take Care,Drake,74,1,419
Lover,Taylor Swift,62,1,81
Top,YoungBoy Never Broke Again,60,1,26
High Off Life,Future,67,1,43
Journey's Greatest Hits,Journey,68,10,659
Change Of Scenery II,Quinn XCII,-,69,1
Just Cause Y'all Waited 2,Lil Durk,63,2,44
Back In Black,AC/DC,75,4,454
Goldmine,Gabby Barrett,84,27,38
Greatest Hits,2Pac,69,3,361
?,XXXTENTACION,70,1,156
÷ (Divide),Ed Sheeran,72,1,210
Playboy,Tory Lanez,-,76,1
American Teen,Khalid,87,4,210
Wunna,Gunna,71,1,42
